#SampleID	Description	Env	SourceSink	Study	Details
Run20100430_H2O-1	PCR water 1	Lab 1	sink	Lab 1	PCR_water_sample_1_2010_04_30_run
Run20100524_ESC_C-3ss	Swab 2	Lab 2	sink	Lab 2	Sterile_swab_sample_3_2010_05_24_run
UDB19	Button 1	NICU	sink	NICU	Swab_was_taken_from_NICU_door_button_surface1_UCSD
SFMP7	Phone SF 9	Office	sink	Office	Swab_sample_from_man_phone_in_San_Francisco_office_room_7
F11Fcsp	Gut 1	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F11Fcsw	Gut 2	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F12Fcsp	Gut 3	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F12Fcsw	Gut 4	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F13Fcsw	Gut 5	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F14Fcsw	Gut 6	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F21Fcsp	Gut 7	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F21Fcsw	Gut 8	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F22Fcsp	Gut 9	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F22Fcsw	Gut 10	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F23Fcsw	Gut 11	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F24Fcsw	Gut 12	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F31Fcsp	Gut 13	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F31Fcsw	Gut 14	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F32Fcsp	Gut 15	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F32Fcsw	Gut 16	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F33Fcsw	Gut 17	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F34Fcsw	Gut 18	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M11Fcsp	Gut 19	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M11Fcsw	Gut 20	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M12Fcsp	Gut 21	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M12Fcsw	Gut 22	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M13Fcsw	Gut 23	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M14Fcsw	Gut 24	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M21Fcsp	Gut 25	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M21Fcsw	Gut 26	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M22Fcsp	Gut 27	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M22Fcsw	Gut 28	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M23Fcsw	Gut 29	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M24Fcsw	Gut 30	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M31Fcsp	Gut 31	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M31Fcsw	Gut 32	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M32Fcsp	Gut 33	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M32Fcsw	Gut 34	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M33Fcsw	Gut 35	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M41Fcsp	Gut 36	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M41Fcsw	Gut 37	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M42Fcsp	Gut 38	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M42Fcsw	Gut 39	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M43Fcsw	Gut 40	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M44Fcsw	Gut 41	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M53Fcsw	Gut 42	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M54Fcsw	Gut 43	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M63Fcsw	Gut 44	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M64Fcsw	Gut 45	Gut	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F11Mout	Mouth 1	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F12Mout	Mouth 2	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F21Mout	Mouth 3	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F22Mout	Mouth 4	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F31Mout	Mouth 5	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F32Mout	Mouth 6	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M11Mout	Mouth 7	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M12Mout	Mouth 8	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M21Mout	Mouth 9	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M22Mout	Mouth 10	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M31Mout	Mouth 11	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M32Mout	Mouth 12	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M41Mout	Mouth 13	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M42Mout	Mouth 14	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F11Tong	Tongue 1	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F12Tong	Tongue 2	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F13Tong	Tongue 3	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F14Tong	Tongue 4	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F21Tong	Tongue 5	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F22Tong	Tongue 6	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F23Tong	Tongue 7	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F24Tong	Tongue 8	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F31Tong	Tongue 9	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F32Tong	Tongue 10	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F33Tong	Tongue 11	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
F34Tong	Tongue 12	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M11Tong	Tongue 13	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M12Tong	Tongue 14	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M13Tong	Tongue 15	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M14Tong	Tongue 16	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M21Tong	Tongue 17	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M22Tong	Tongue 18	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M23Tong	Tongue 19	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M24Tong	Tongue 20	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
M31Tong	Tongue 21	Oral	source	Bacterial_variation_in_human_body_habitats_across_space_and_time	NA
