OTU ID	Consensus Lineage
1	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
6	Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
7	Bacteroidetes;Bacteroidetes;Bacteroidales;Prevotellaceae;Prevotella
8	Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Anaerococcus
12	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
16	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
17	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium
21	Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangineae;Polyangiaceae;Sorangium
24	Firmicutes;Clostridia;Clostridiales
28	Proteobacteria;Alphaproteobacteria;Rhizobiales
30	Cyanobacteria;Cyanobacteria;Family I;GpI
31	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp3
34	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Crenotrichaceae;Terrimonas
35	
38	
39	Actinobacteria;Actinobacteria;Rubrobacteridae;Rubrobacterales;Rubrobacterineae
42	
46	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus
56	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp3
62	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
64	Bacteroidetes;Sphingobacteria;Sphingobacteriales
65	Bacteroidetes
68	
72	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp2
76	Bacteroidetes
83	Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Peptoniphilus
85	TM7;TM7_genera_incertae_sedis
87	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
91	Bacteroidetes;Sphingobacteria;Sphingobacteriales
92	
93	Bacteroidetes;Bacteroidetes;Bacteroidales;Porphyromonadaceae;Porphyromonas
97	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
98	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Opitutaceae;Opitutus
100	OD1;OD1_genera_incertae_sedis
101	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp6
107	
109	Proteobacteria;Alphaproteobacteria;Rhizobiales
110	Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium
111	
118	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp16
122	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
127	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp6
128	
130	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae
132	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae
136	Proteobacteria;Deltaproteobacteria;Myxococcales
137	Proteobacteria
138	
145	
149	Proteobacteria;Gammaproteobacteria
155	TM7;TM7_genera_incertae_sedis
156	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Hydrocarboniphaga
158	Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
164	Proteobacteria;Betaproteobacteria
165	
167	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae
174	
